1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,42,11,50,11,50,11,11,11,11,11,11,11,11,11,11,11,11,12,1
1,37,33,50,32,33,38,32,33,38,32,33,38,32,33,38,32,33,6,1
1,45,50,47,50,11,47,40,11,47,40,18,47,40,11,47,40,50,15,1
1,37,33,38,50,33,38,32,33,26,32,33,38,32,33,38,32,33,38,1
1,45,11,50,40,50,47,50,11,47,40,11,47,40,11,47,40,11,47,1
1,37,33,50,32,33,38,32,33,38,32,33,38,32,33,38,32,33,38,1
1,45,50,47,50,11,47,40,11,47,40,11,47,40,11,47,40,11,47,1
1,37,33,50,32,33,38,40,33,38,32,33,38,26,33,38,32,33,38,1
1,45,11,47,40,11,47,40,11,47,40,11,47,40,11,47,40,11,47,1
1,37,33,38,32,33,38,32,33,38,32,33,38,32,33,38,32,33,38,1
1,45,11,47,40,26,47,40,11,47,40,11,47,40,11,47,40,11,47,1
1,37,33,38,32,33,38,32,33,38,32,33,38,32,33,38,32,33,38,1
1,45,11,47,40,11,47,40,11,47,40,11,47,40,11,47,40,11,47,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
